"id","区分","チャンク","チャンク日本語訳","例文番号","英文","例文日本語訳","音声ファイル"
"081-01","ビジネス","Would it be possible to …?","…することは可能でしょうか？","1","Would it be possible to extend the deadline?","","chunk-audio/081-01.mp3"
"081-02","ビジネス","Would it be possible to …?","…することは可能でしょうか？","2","Would it be possible to meet earlier in the day?","","chunk-audio/081-02.mp3"
"081-03","ビジネス","Would it be possible to …?","…することは可能でしょうか？","3","Would it be possible to receive your feedback today?","","chunk-audio/081-03.mp3"
"082-01","ビジネス","I’d appreciate it if …","…していただけると幸いです","1","I’d appreciate it if you could reply by Friday.","","chunk-audio/082-01.mp3"
"082-02","ビジネス","I’d appreciate it if …","…していただけると幸いです","2","I’d appreciate it if you would review the proposal.","","chunk-audio/082-02.mp3"
"082-03","ビジネス","I’d appreciate it if …","…していただけると幸いです","3","I’d appreciate it if you could keep this confidential.","","chunk-audio/082-03.mp3"
"083-01","ビジネス","Please let me know …","…をお知らせください","1","Please let me know if you have any questions.","","chunk-audio/083-01.mp3"
"083-02","ビジネス","Please let me know …","…をお知らせください","2","Please let me know which option you prefer.","","chunk-audio/083-02.mp3"
"083-03","ビジネス","Please let me know …","…をお知らせください","3","Please let me know your availability at your convenience.","","chunk-audio/083-03.mp3"
"084-01","ビジネス","Please feel free to …","どうぞご遠慮なく…してください","1","Please feel free to contact me with questions.","","chunk-audio/084-01.mp3"
"084-02","ビジネス","Please feel free to …","どうぞご遠慮なく…してください","2","Please feel free to share your feedback.","","chunk-audio/084-02.mp3"
"084-03","ビジネス","Please feel free to …","どうぞご遠慮なく…してください","3","Please feel free to use this document for reference.","","chunk-audio/084-03.mp3"
"085-01","ビジネス","Could you clarify …?","…を明確にしていただけますか？","1","Could you clarify what you mean by this?","","chunk-audio/085-01.mp3"
"085-02","ビジネス","Could you clarify …?","…を明確にしていただけますか？","2","Could you clarify the expected delivery date?","","chunk-audio/085-02.mp3"
"085-03","ビジネス","Could you clarify …?","…を明確にしていただけますか？","3","Could you clarify who is responsible for approval?","","chunk-audio/085-03.mp3"
"086-01","ビジネス","Could you elaborate on …?","…を詳しく説明いただけますか？","1","Could you elaborate on the main issue?","","chunk-audio/086-01.mp3"
"086-02","ビジネス","Could you elaborate on …?","…を詳しく説明いただけますか？","2","Could you elaborate on your proposal?","","chunk-audio/086-02.mp3"
"086-03","ビジネス","Could you elaborate on …?","…を詳しく説明いただけますか？","3","Could you elaborate on how this process works?","","chunk-audio/086-03.mp3"
"087-01","ビジネス","Just to confirm, …","確認ですが…","1","Just to confirm, the meeting starts at ten, right?","","chunk-audio/087-01.mp3"
"087-02","ビジネス","Just to confirm, …","確認ですが…","2","Just to confirm, you need the file by Friday.","","chunk-audio/087-02.mp3"
"087-03","ビジネス","Just to confirm, …","確認ですが…","3","Just to confirm, this is the final version.","","chunk-audio/087-03.mp3"
"088-01","ビジネス","For your reference, …","ご参考までに…","1","For your reference, I’ve attached last year’s report.","","chunk-audio/088-01.mp3"
"088-02","ビジネス","For your reference, …","ご参考までに…","2","For your reference, the deadline is June 15.","","chunk-audio/088-02.mp3"
"088-03","ビジネス","For your reference, …","ご参考までに…","3","For your reference, these figures are from last month.","","chunk-audio/088-03.mp3"
"089-01","ビジネス","As discussed, …","ご相談のとおり…","1","As discussed, I’ve updated the proposal.","","chunk-audio/089-01.mp3"
"089-02","ビジネス","As discussed, …","ご相談のとおり…","2","As discussed, we’ll meet again next Tuesday.","","chunk-audio/089-02.mp3"
"089-03","ビジネス","As discussed, …","ご相談のとおり…","3","As discussed, the team will handle the first step.","","chunk-audio/089-03.mp3"
"090-01","ビジネス","Regarding …","…に関して","1","Regarding your question, I’ll check and reply soon.","","chunk-audio/090-01.mp3"
"090-02","ビジネス","Regarding …","…に関して","2","Regarding the schedule, Friday works best for us.","","chunk-audio/090-02.mp3"
"090-03","ビジネス","Regarding …","…に関して","3","Regarding the budget, we need further approval.","","chunk-audio/090-03.mp3"
"091-01","ビジネス","With regard to …","…につきまして","1","With regard to the contract, we have one question.","","chunk-audio/091-01.mp3"
"091-02","ビジネス","With regard to …","…につきまして","2","With regard to your request, we can help.","","chunk-audio/091-02.mp3"
"091-03","ビジネス","With regard to …","…につきまして","3","With regard to the delay, we apologize for the inconvenience.","","chunk-audio/091-03.mp3"
"092-01","ビジネス","According to …","…によると","1","According to the schedule, we are on track.","","chunk-audio/092-01.mp3"
"092-02","ビジネス","According to …","…によると","2","According to the report, sales increased this month.","","chunk-audio/092-02.mp3"
"092-03","ビジネス","According to …","…によると","3","According to our records, the payment was received.","","chunk-audio/092-03.mp3"
"093-01","ビジネス","Based on …","…に基づくと","1","Based on the feedback, we made several changes.","","chunk-audio/093-01.mp3"
"093-02","ビジネス","Based on …","…に基づくと","2","Based on the data, this option seems best.","","chunk-audio/093-02.mp3"
"093-03","ビジネス","Based on …","…に基づくと","3","Based on our discussion, I’ll prepare a draft.","","chunk-audio/093-03.mp3"
"094-01","ビジネス","From my perspective, …","私の観点では…","1","From my perspective, the timeline is too tight.","","chunk-audio/094-01.mp3"
"094-02","ビジネス","From my perspective, …","私の観点では…","2","From my perspective, this is the simplest solution.","","chunk-audio/094-02.mp3"
"094-03","ビジネス","From my perspective, …","私の観点では…","3","From my perspective, customer feedback is especially important.","","chunk-audio/094-03.mp3"
"095-01","ビジネス","I understand that …","…と理解しています","1","I understand that the deadline has changed.","","chunk-audio/095-01.mp3"
"095-02","ビジネス","I understand that …","…と理解しています","2","I understand that you need more time.","","chunk-audio/095-02.mp3"
"095-03","ビジネス","I understand that …","…と理解しています","3","I understand that this is a high priority.","","chunk-audio/095-03.mp3"
"096-01","ビジネス","I agree that …","…に同意します","1","I agree that we need a clearer plan.","","chunk-audio/096-01.mp3"
"096-02","ビジネス","I agree that …","…に同意します","2","I agree that quality should come first.","","chunk-audio/096-02.mp3"
"096-03","ビジネス","I agree that …","…に同意します","3","I agree that this is a risk we should address.","","chunk-audio/096-03.mp3"
"097-01","ビジネス","I’m afraid that …","申し上げにくいのですが…","1","I’m afraid that we cannot meet the original deadline.","","chunk-audio/097-01.mp3"
"097-02","ビジネス","I’m afraid that …","申し上げにくいのですが…","2","I’m afraid that the item is currently unavailable.","","chunk-audio/097-02.mp3"
"097-03","ビジネス","I’m afraid that …","申し上げにくいのですが…","3","I’m afraid that the meeting has been canceled.","","chunk-audio/097-03.mp3"
"098-01","ビジネス","Unfortunately, …","あいにく…","1","Unfortunately, we need to postpone the launch.","","chunk-audio/098-01.mp3"
"098-02","ビジネス","Unfortunately, …","あいにく…","2","Unfortunately, I’m not available on Thursday.","","chunk-audio/098-02.mp3"
"098-03","ビジネス","Unfortunately, …","あいにく…","3","Unfortunately, the issue is still unresolved.","","chunk-audio/098-03.mp3"
"099-01","ビジネス","There seems to be an issue with …","…に問題があるようです","1","There seems to be an issue with the payment system.","","chunk-audio/099-01.mp3"
"099-02","ビジネス","There seems to be an issue with …","…に問題があるようです","2","There seems to be an issue with the attached file.","","chunk-audio/099-02.mp3"
"099-03","ビジネス","There seems to be an issue with …","…に問題があるようです","3","There seems to be an issue with the delivery address.","","chunk-audio/099-03.mp3"
"100-01","ビジネス","We need to address …","…に対処する必要があります","1","We need to address this issue as soon as possible.","","chunk-audio/100-01.mp3"
"100-02","ビジネス","We need to address …","…に対処する必要があります","2","We need to address the customer’s concerns.","","chunk-audio/100-02.mp3"
"100-03","ビジネス","We need to address …","…に対処する必要があります","3","We need to address the delay before it gets worse.","","chunk-audio/100-03.mp3"
"101-01","ビジネス","The deadline is …","締切は…です","1","The deadline is Friday at noon.","","chunk-audio/101-01.mp3"
"101-02","ビジネス","The deadline is …","締切は…です","2","The deadline is approaching, so we should start now.","","chunk-audio/101-02.mp3"
"101-03","ビジネス","The deadline is …","締切は…です","3","The deadline is flexible, but earlier is better.","","chunk-audio/101-03.mp3"
"102-01","ビジネス","We’re on track to …","…に向けて順調です","1","We’re on track to finish by the end of the month.","","chunk-audio/102-01.mp3"
"102-02","ビジネス","We’re on track to …","…に向けて順調です","2","We’re on track to meet the client’s expectations.","","chunk-audio/102-02.mp3"
"102-03","ビジネス","We’re on track to …","…に向けて順調です","3","We’re on track to launch as planned.","","chunk-audio/102-03.mp3"
"103-01","ビジネス","We’re running behind schedule.","予定より遅れています","1","We’re running behind schedule because of the changes.","","chunk-audio/103-01.mp3"
"103-02","ビジネス","We’re running behind schedule.","予定より遅れています","2","We’re running behind schedule, but we’re catching up.","","chunk-audio/103-02.mp3"
"103-03","ビジネス","We’re running behind schedule.","予定より遅れています","3","We’re running behind schedule at the moment.","","chunk-audio/103-03.mp3"
"104-01","ビジネス","We’re working on …","…に取り組んでいます","1","We’re working on the final design now.","","chunk-audio/104-01.mp3"
"104-02","ビジネス","We’re working on …","…に取り組んでいます","2","We’re working on a solution to the problem.","","chunk-audio/104-02.mp3"
"104-03","ビジネス","We’re working on …","…に取り組んでいます","3","We’re working on it and will update you soon.","","chunk-audio/104-03.mp3"
"105-01","ビジネス","We’re planning to …","…する予定です","1","We’re planning to launch the service in July.","","chunk-audio/105-01.mp3"
"105-02","ビジネス","We’re planning to …","…する予定です","2","We’re planning to hire two new members.","","chunk-audio/105-02.mp3"
"105-03","ビジネス","We’re planning to …","…する予定です","3","We’re planning to review the process next week.","","chunk-audio/105-03.mp3"
"106-01","ビジネス","We’re considering …","…を検討しています","1","We’re considering a few different options.","","chunk-audio/106-01.mp3"
"106-02","ビジネス","We’re considering …","…を検討しています","2","We’re considering moving the event online.","","chunk-audio/106-02.mp3"
"106-03","ビジネス","We’re considering …","…を検討しています","3","We’re considering your suggestion, actually.","","chunk-audio/106-03.mp3"
"107-01","ビジネス","We’ve completed …","…を完了しました","1","We’ve completed the first phase of the project.","","chunk-audio/107-01.mp3"
"107-02","ビジネス","We’ve completed …","…を完了しました","2","We’ve completed the review and found no issues.","","chunk-audio/107-02.mp3"
"107-03","ビジネス","We’ve completed …","…を完了しました","3","We’ve completed the update as requested.","","chunk-audio/107-03.mp3"
"108-01","ビジネス","We’re waiting for …","…を待っています","1","We’re waiting for the client’s approval.","","chunk-audio/108-01.mp3"
"108-02","ビジネス","We’re waiting for …","…を待っています","2","We’re waiting for the final numbers.","","chunk-audio/108-02.mp3"
"108-03","ビジネス","We’re waiting for …","…を待っています","3","We’re waiting for one more response before deciding.","","chunk-audio/108-03.mp3"
"109-01","ビジネス","I’ll look into it.","調査・確認します","1","I’ll look into it and reply this afternoon.","","chunk-audio/109-01.mp3"
"109-02","ビジネス","I’ll look into it.","調査・確認します","2","I’ll look into it right away.","","chunk-audio/109-02.mp3"
"109-03","ビジネス","I’ll look into it.","調査・確認します","3","I’ll look into it and keep you updated.","","chunk-audio/109-03.mp3"
"110-01","ビジネス","I’ll take care of it.","私が対応します","1","I’ll take care of it before the meeting.","","chunk-audio/110-01.mp3"
"110-02","ビジネス","I’ll take care of it.","私が対応します","2","Don’t worry; I’ll take care of it.","","chunk-audio/110-02.mp3"
"110-03","ビジネス","I’ll take care of it.","私が対応します","3","I’ll take care of it as soon as possible.","","chunk-audio/110-03.mp3"
"111-01","ビジネス","I’ll keep you updated.","進捗を共有します","1","I’ll keep you updated as things progress.","","chunk-audio/111-01.mp3"
"111-02","ビジネス","I’ll keep you updated.","進捗を共有します","2","I’ll keep you updated after I speak with the team.","","chunk-audio/111-02.mp3"
"111-03","ビジネス","I’ll keep you updated.","進捗を共有します","3","I’ll keep you updated if anything changes.","","chunk-audio/111-03.mp3"
"112-01","ビジネス","I’ll get back to you by Friday.","金曜までに返信します","1","I’ll get back to you by Friday with an answer.","","chunk-audio/112-01.mp3"
"112-02","ビジネス","I’ll get back to you by Friday.","金曜までに返信します","2","I’ll get back to you by Friday after checking the details.","","chunk-audio/112-02.mp3"
"112-03","ビジネス","I’ll get back to you by Friday.","金曜までに返信します","3","I’ll get back to you by Friday, if not sooner.","","chunk-audio/112-03.mp3"
"113-01","ビジネス","Let’s schedule a meeting.","会議を設定しましょう","1","Let’s schedule a meeting to discuss the next steps.","","chunk-audio/113-01.mp3"
"113-02","ビジネス","Let’s schedule a meeting.","会議を設定しましょう","2","Let’s schedule a meeting for early next week.","","chunk-audio/113-02.mp3"
"113-03","ビジネス","Let’s schedule a meeting.","会議を設定しましょう","3","Let’s schedule a meeting when everyone is available.","","chunk-audio/113-03.mp3"
"114-01","ビジネス","Does this time work for you?","この時間でご都合はいかがですか？","1","Does this time work for you, or should we change it?","","chunk-audio/114-01.mp3"
"114-02","ビジネス","Does this time work for you?","この時間でご都合はいかがですか？","2","Does this time work for you tomorrow?","","chunk-audio/114-02.mp3"
"114-03","ビジネス","Does this time work for you?","この時間でご都合はいかがですか？","3","Does this time work for you, by the way?","","chunk-audio/114-03.mp3"
"115-01","ビジネス","Could we reschedule …?","…を再調整できますか？","1","Could we reschedule our meeting for Thursday?","","chunk-audio/115-01.mp3"
"115-02","ビジネス","Could we reschedule …?","…を再調整できますか？","2","Could we reschedule the call to next week?","","chunk-audio/115-02.mp3"
"115-03","ビジネス","Could we reschedule …?","…を再調整できますか？","3","Could we reschedule if Friday is inconvenient?","","chunk-audio/115-03.mp3"
"116-01","ビジネス","Thank you for your time.","お時間をありがとうございます","1","Thank you for your time today.","","chunk-audio/116-01.mp3"
"116-02","ビジネス","Thank you for your time.","お時間をありがとうございます","2","Thank you for your time and helpful feedback.","","chunk-audio/116-02.mp3"
"116-03","ビジネス","Thank you for your time.","お時間をありがとうございます","3","Thank you for your time; I look forward to hearing from you.","","chunk-audio/116-03.mp3"
"117-01","ビジネス","Thank you for your patience.","お待ちいただきありがとうございます","1","Thank you for your patience while we investigate.","","chunk-audio/117-01.mp3"
"117-02","ビジネス","Thank you for your patience.","お待ちいただきありがとうございます","2","Thank you for your patience during this delay.","","chunk-audio/117-02.mp3"
"117-03","ビジネス","Thank you for your patience.","お待ちいただきありがとうございます","3","Thank you for your patience; we will update you soon.","","chunk-audio/117-03.mp3"
"118-01","ビジネス","Thank you for your understanding.","ご理解ありがとうございます","1","Thank you for your understanding in this matter.","","chunk-audio/118-01.mp3"
"118-02","ビジネス","Thank you for your understanding.","ご理解ありがとうございます","2","Thank you for your understanding while we make changes.","","chunk-audio/118-02.mp3"
"118-03","ビジネス","Thank you for your understanding.","ご理解ありがとうございます","3","Thank you for your understanding and continued support.","","chunk-audio/118-03.mp3"
"119-01","ビジネス","I’m looking forward to working with you.","ご一緒に仕事できることを楽しみにしています","1","I’m looking forward to working with you on this project.","","chunk-audio/119-01.mp3"
"119-02","ビジネス","I’m looking forward to working with you.","ご一緒に仕事できることを楽しみにしています","2","I’m looking forward to working with you in the coming months.","","chunk-audio/119-02.mp3"
"119-03","ビジネス","I’m looking forward to working with you.","ご一緒に仕事できることを楽しみにしています","3","I’m looking forward to working with you and your team.","","chunk-audio/119-03.mp3"
"120-01","ビジネス","Please don’t hesitate to contact me.","遠慮なくご連絡ください","1","Please don’t hesitate to contact me if you have questions.","","chunk-audio/120-01.mp3"
"120-02","ビジネス","Please don’t hesitate to contact me.","遠慮なくご連絡ください","2","Please don’t hesitate to contact me if anything is unclear.","","chunk-audio/120-02.mp3"
"120-03","ビジネス","Please don’t hesitate to contact me.","遠慮なくご連絡ください","3","Please don’t hesitate to contact me at your convenience.","","chunk-audio/120-03.mp3"
